Date,Close,Volume,Open,High,Low
01/15/2021,32.04,91993100,33.08,33.5,31.82
01/14/2021,34.75,55856900,34.07,35.1,34.01
01/13/2021,33.8,35734810,33.82,34.26,33.63
01/12/2021,33.94,59146430,34,34.52,33.66
01/11/2021,33.24,33798500,32.64,33.56,32.32
01/08/2021,33.19,32324740,33.61,33.65,32.67
01/07/2021,33.43,50634120,33.58,34.2,33.32
01/06/2021,32.69,73507550,31.9,33,31.79
01/05/2021,30.53,37360010,30.09,30.95,29.82
01/04/2021,29.7,31421560,30.32,30.435,29.4002
12/31/2020,30.18,21081200,29.75,30.235,29.67
12/30/2020,29.75,18519310,29.8,30.04,29.65
12/29/2020,29.78,19584420,30.15,30.17,29.75
12/28/2020,29.93,21658500,30.08,30.48,29.905
12/24/2020,29.84,14443730,30.29,30.38,29.66
12/23/2020,30.35,38383670,29.28,30.49,29.27
12/22/2020,28.96,25705220,29.65,29.72,28.945
12/21/2020,29.55,52731620,29.57,29.89,28.8414
12/18/2020,29.01,53716400,29.47,29.6197,28.8
12/17/2020,29.47,42870470,29.8,29.9,29.435
12/16/2020,29.65,35204820,29.64,29.905,29.48
12/15/2020,29.73,38888860,29.13,29.77,28.9
12/14/2020,28.64,28378020,29.54,29.775,28.5131
12/11/2020,29.08,29779110,29.02,29.39,28.67
12/10/2020,29.49,31730190,28.72,29.56,28.54
12/09/2020,29.05,35276010,29.24,29.24,28.61
12/08/2020,28.94,32209490,29.03,29.3,28.4
12/07/2020,29.34,31712960,29.42,29.6286,29.07
12/04/2020,29.55,47168820,29.5,29.97,29.34
12/03/2020,29.16,41264620,28.94,29.49,28.79
12/02/2020,28.87,35507960,27.99,28.99,27.845
12/01/2020,28.06,42001850,28.15,28.68,28.04
11/30/2020,27.35,48210960,28.43,28.56,27.28
11/27/2020,28.46,20281440,28.59,28.63,28.18
11/25/2020,28.59,38875520,28.33,28.69,28
11/24/2020,28.61,80523350,27.46,28.73,27.3403
11/23/2020,26.3,40691370,25.95,26.44,25.87
11/20/2020,25.48,38469060,26.04,26.23,25.46
11/19/2020,26.16,44559960,25.19,26.22,24.971
11/18/2020,25.06,44318290,25.15,25.95,25.06
11/17/2020,25.04,29490360,24.53,25.15,24.52
11/16/2020,24.9,36954810,24.99,25.03,24.39
11/13/2020,24.07,30095950,23.91,24.18,23.73
11/12/2020,23.81,34541930,23.91,24.145,23.56
11/11/2020,24.19,38309200,24.23,24.54,24.005
11/10/2020,24.19,49029150,24.36,24.37,23.8645
11/09/2020,24.22,102118900,24.03,24.8671,23.3
11/06/2020,21.91,29502890,22.5,22.57,21.84
11/05/2020,22.33,38319690,21.89,22.5699,21.86
11/04/2020,21.88,47203200,21.75,22.56,21.17
11/03/2020,22.09,38427020,22.31,22.5,21.99
11/02/2020,21.9,38401200,21.7,21.98,21.19
10/30/2020,21.45,34608760,21.1,21.46,20.84
